FF-OUT,BESSEL-OUT,NO-FILTER,TIMESTAMP
0.022853044,0.017771124,0.001149897, 2022-11-01 14:38:55.764292
0.020287115,0.013351781,0.00032919, 2022-11-01 14:38:55.769205
0.017014343,0.009781006,0.001568643, 2022-11-01 14:38:55.774140
0.013793511,0.006743407,0.004455559, 2022-11-01 14:38:55.779058
0.010723818,0.004553658,0.006455687, 2022-11-01 14:38:55.784004
0.008081111,0.002936135,0.005196274, 2022-11-01 14:38:55.788924
0.005958953,0.002093502,0.001134965, 2022-11-01 14:38:55.793861
0.004433028,0.002340244,-0.002981877, 2022-11-01 14:38:55.798791
0.003828328,0.003334316,-0.003905333, 2022-11-01 14:38:55.803728
0.003711781,0.004088301,-0.00013129, 2022-11-01 14:38:55.808655
0.003823036,0.004026946,0.00885634, 2022-11-01 14:38:55.813589
0.003610242,0.00258415,0.02052157, 2022-11-01 14:38:55.818514
0.002932544,0.0005923,0.030175445, 2022-11-01 14:38:55.823444
0.001834399,-0.000377314,0.034207078, 2022-11-01 14:38:55.828378
0.001174696,0.001500484,0.03164304, 2022-11-01 14:38:55.833312
0.002005459,0.006557,0.02333632, 2022-11-01 14:38:55.838235
0.00492927,0.014015378,0.011563351, 2022-11-01 14:38:55.843161
0.009901296,0.021888647,-0.000318756, 2022-11-01 14:38:55.848090
0.015445397,0.02736716,-0.009377571, 2022-11-01 14:38:55.853024
0.020295545,0.028350534,-0.014234788, 2022-11-01 14:38:55.857949
0.022833613,0.024793406,-0.014655046, 2022-11-01 14:38:55.862958
0.022493384,0.017018917,-0.010943492, 2022-11-01 14:38:55.867875
0.018921929,0.007527899,-0.003426254, 2022-11-01 14:38:55.872810
0.013024822,-0.001262362,0.006720158, 2022-11-01 14:38:55.877748
0.005798517,-0.008121031,0.016618808, 2022-11-01 14:38:55.882854
-0.000148756,-0.010612941,0.023002518, 2022-11-01 14:38:55.887808
-0.003980713,-0.009502548,0.023133506, 2022-11-01 14:38:55.892743
-0.005471481,-0.005031717,0.016855267, 2022-11-01 14:38:55.897667
-0.004275804,0.001950758,0.006549439, 2022-11-01 14:38:55.902630
-0.000552569,0.009717119,-0.002673365, 2022-11-01 14:38:55.907520
0.0044934,0.015840705,-0.005865428, 2022-11-01 14:38:55.912473
0.009435107,0.018401455,-0.001962514, 2022-11-01 14:38:55.917370
0.012718389,0.0166957,0.00607017, 2022-11-01 14:38:55.922296
0.013521707,0.011665079,0.014329409, 2022-11-01 14:38:55.927229
0.011850617,0.005437496,0.020727711, 2022-11-01 14:38:55.932154
0.008617538,0.000951393,0.024800059, 2022-11-01 14:38:55.937082
0.005468003,0.000412017,0.026442683, 2022-11-01 14:38:55.942012
0.003962265,0.003669139,0.025525842, 2022-11-01 14:38:55.946947
0.004688653,0.009722071,0.022762543, 2022-11-01 14:38:55.952257
0.007821403,0.015927614,0.019981968, 2022-11-01 14:38:55.957187
0.011816821,0.020657813,0.017893002, 2022-11-01 14:38:55.962113
0.015837114,0.023720703,0.01694418, 2022-11-01 14:38:55.967047
0.019113326,0.024651077,0.017207706, 2022-11-01 14:38:55.971974
0.021216128,0.023764592,0.017564832, 2022-11-01 14:38:55.976899
0.021965501,0.021988032,0.016878856, 2022-11-01 14:38:55.981827
0.021618619,0.020137944,0.014303325, 2022-11-01 14:38:55.986758
0.020784681,0.018718283,0.010382908, 2022-11-01 14:38:55.991685
0.019881487,0.017932771,0.005649988, 2022-11-01 14:38:55.996619
0.018977159,0.017340773,0.000437383, 2022-11-01 14:38:56.001540
0.018167113,0.016348931,-0.004561029, 2022-11-01 14:38:56.006479
0.017141286,0.014773446,-0.007780122, 2022-11-01 14:38:56.011405
0.015813146,0.012003342,-0.008312201, 2022-11-01 14:38:56.016336
0.013766369,0.008047617,-0.006580475, 2022-11-01 14:38:56.021262
0.01089,0.003597653,-0.003740663, 2022-11-01 14:38:56.026193
0.007399444,-0.000594304,-0.001028473, 2022-11-01 14:38:56.031125
0.00369269,-0.003944346,0.000786873, 2022-11-01 14:38:56.036055
0.000412546,-0.005862139,0.001566261, 2022-11-01 14:38:56.040984
-0.002091121,-0.006092172,0.001649239, 2022-11-01 14:38:56.045933
-0.003480804,-0.004849619,0.00232361, 2022-11-01 14:38:56.050868
-0.003711592,-0.002827262,0.004584808, 2022-11-01 14:38:56.055810
-0.003053439,-0.000948406,0.008395595, 2022-11-01 14:38:56.060725
-0.001981756,0.000504332,0.013139138, 2022-11-01 14:38:56.065663
-0.000867243,0.001588149,0.017829946, 2022-11-01 14:38:56.070586
0.000427025,0.00298373,0.021249357, 2022-11-01 14:38:56.075521
0.001567206,0.004686234,0.021742953, 2022-11-01 14:38:56.080453
0.003248238,0.007293519,0.018914822, 2022-11-01 14:38:56.085387
0.005337469,0.010809895,0.014236527, 2022-11-01 14:38:56.090309
0.008065687,0.01474067,0.00990742, 2022-11-01 14:38:56.095242
0.011048396,0.017818908,0.007446357, 2022-11-01 14:38:56.100168
0.014088376,0.019313834,0.006640242, 2022-11-01 14:38:56.105097
0.015892836,0.01861096,0.007360431, 2022-11-01 14:38:56.110020
0.016746583,0.016539535,0.009413824, 2022-11-01 14:38:56.114955
0.01596795,0.013305359,0.011673925, 2022-11-01 14:38:56.119885
0.014632477,0.010481197,0.012369352, 2022-11-01 14:38:56.124815
0.012561468,0.008533501,0.011251928, 2022-11-01 14:38:56.129745
0.01099309,0.008294207,0.009588626, 2022-11-01 14:38:56.134701
0.01004801,0.008934328,0.008998707, 2022-11-01 14:38:56.139628
0.009690997,0.010147319,0.009850337, 2022-11-01 14:38:56.144829
0.010043058,0.011033388,0.011267919, 2022-11-01 14:38:56.149732
0.010462635,0.011182899,0.011483397, 2022-11-01 14:38:56.154661
0.010658267,0.010656981,0.009207192, 2022-11-01 14:38:56.159591
0.010646434,0.010378712,0.004928439, 2022-11-01 14:38:56.164523
0.010474581,0.010061128,0.000943, 2022-11-01 14:38:56.169452
0.010386651,0.010352855,-0.000816171, 2022-11-01 14:38:56.174381
0.010464412,0.010092391,-0.000110877, 2022-11-01 14:38:56.179311
0.010202814,0.009152831,0.002109418, 2022-11-01 14:38:56.184238
0.009508974,0.006880935,0.004953237, 2022-11-01 14:38:56.189164
0.00806822,0.004229722,0.008465871, 2022-11-01 14:38:56.194107
0.006248072,0.001996159,0.012377896, 2022-11-01 14:38:56.199042
0.004512377,0.001342731,0.015453374, 2022-11-01 14:38:56.203999
0.003299953,0.001996348,0.017163325, 2022-11-01 14:38:56.208929
0.003112865,0.003971602,0.018225141, 2022-11-01 14:38:56.213861
0.003857512,0.006816027,0.018833091, 2022-11-01 14:38:56.218789
0.005600315,0.009987903,0.018277309, 2022-11-01 14:38:56.223716
0.007677297,0.013109879,0.016373503, 2022-11-01 14:38:56.228641
0.010156089,0.015571546,0.013725882, 2022-11-01 14:38:56.233576
0.012579311,0.017327958,0.010660724, 2022-11-01 14:38:56.238498
0.014520126,0.018071206,0.007303499, 2022-11-01 14:38:56.243439
0.015877147,0.018035974,0.004554149, 2022-11-01 14:38:56.248358
0.016521465,0.01697945,0.003725768, 2022-11-01 14:38:56.253282
0.016488047,0.014999244,0.004339767, 2022-11-01 14:38:56.258209
0.015456549,0.012422806,0.004766376, 2022-11-01 14:38:56.263144
0.013812035,0.009609191,0.004397115, 2022-11-01 14:38:56.268077
0.011876701,0.007263276,0.004358782, 2022-11-01 14:38:56.273003
0.009857444,0.005489287,0.005463958, 2022-11-01 14:38:56.277934
0.007882833,0.004698066,0.007804769, 2022-11-01 14:38:56.282862
0.006658274,0.004542619,0.010781392, 2022-11-01 14:38:56.287785
0.005761167,0.00466049,0.014222615, 2022-11-01 14:38:56.292729
0.005348545,0.005049862,0.017190354, 2022-11-01 14:38:56.297652
0.005341665,0.005777158,0.01810194, 2022-11-01 14:38:56.302582
0.005788537,0.007496825,0.016445896, 2022-11-01 14:38:56.307507
0.006751195,0.009604919,0.013345204, 2022-11-01 14:38:56.312480
0.00834509,0.012260857,0.009980683, 2022-11-01 14:38:56.317365
0.010271691,0.014537516,0.007047798, 2022-11-01 14:38:56.322292
0.012204984,0.016054255,0.005248934, 2022-11-01 14:38:56.327228
0.013641845,0.01589688,0.004628168, 2022-11-01 14:38:56.332448
0.014392767,0.014587189,0.004143304, 2022-11-01 14:38:56.337339
0.014123873,0.011998049,0.003148325, 2022-11-01 14:38:56.342262
0.012966907,0.009467202,0.002544608, 2022-11-01 14:38:56.347206
0.01124535,0.007148808,0.004238909, 2022-11-01 14:38:56.352132
0.009437602,0.005750847,0.008870252, 2022-11-01 14:38:56.357082
0.007836259,0.004620569,0.014915396, 2022-11-01 14:38:56.362005
0.006557642,0.004006759,0.019885645, 2022-11-01 14:38:56.366932
0.005576725,0.004045886,0.021535527, 2022-11-01 14:38:56.371863
0.005062867,0.005248669,0.018605252, 2022-11-01 14:38:56.376790
0.005537864,0.007893418,0.011708666, 2022-11-01 14:38:56.381718
0.007043413,0.011619602,0.003827232, 2022-11-01 14:38:56.386647
0.009423426,0.015397576,-0.001211138, 2022-11-01 14:38:56.391576
0.012220219,0.01780269,-0.001337779, 2022-11-01 14:38:56.396508
0.01430669,0.017241162,0.002620743, 2022-11-01 14:38:56.401441
0.015153141,0.014081269,0.007612464, 2022-11-01 14:38:56.406372
0.013966877,0.009325742,0.010655054, 2022-11-01 14:38:56.411296
0.01134912,0.004860015,0.010072658, 2022-11-01 14:38:56.416229
0.008305775,0.002370978,0.006257031, 2022-11-01 14:38:56.421152
0.006077277,0.002587514,0.001148725, 2022-11-01 14:38:56.426079
0.005093676,0.004701015,-0.002879771, 2022-11-01 14:38:56.431020
0.005305563,0.006883997,-0.00423717, 2022-11-01 14:38:56.435951
0.006089374,0.007857958,-0.003026787, 2022-11-01 14:38:56.440872
0.006805329,0.006809714,0.000184971, 2022-11-01 14:38:56.445807
0.006322809,0.003972018,0.004766263, 2022-11-01 14:38:56.450733
0.004978036,0.000943,0.010182741, 2022-11-01 14:38:56.455658
0.002850095,-0.001185583,0.015633581, 2022-11-01 14:38:56.460585
0.001220249,-0.001661299,0.019790911, 2022-11-01 14:38:56.465504
0.000245154,-0.000156203,0.021315702, 2022-11-01 14:38:56.470427
0.000586214,0.003091469,0.019447204, 2022-11-01 14:38:56.475357
0.002141777,0.007461365,0.014642911, 2022-11-01 14:38:56.480285
0.004937285,0.011970718,0.008532821, 2022-11-01 14:38:56.485233
0.008258445,0.015843465,0.003918716, 2022-11-01 14:38:56.490156
0.011665873,0.018159363,0.003284303, 2022-11-01 14:38:56.495088
0.014093139,0.018167491,0.007320019, 2022-11-01 14:38:56.500016
0.01547632,0.016007493,0.014672284, 2022-11-01 14:38:56.504945
0.01502306,0.012381752,0.023314659, 2022-11-01 14:38:56.509875
0.013458273,0.008912705,0.03087847, 2022-11-01 14:38:56.514808
0.011171067,0.007170394,0.034558308, 2022-11-01 14:38:56.519735
0.009763806,0.008519363,0.031477122, 2022-11-01 14:38:56.524901
0.009805881,0.012547405,0.021779698, 2022-11-01 14:38:56.529810
0.011898476,0.018718132,0.008379378, 2022-11-01 14:38:56.534745
0.01557888,0.024892752,-0.004238909, 2022-11-01 14:38:56.539669
0.019872792,0.028774459,-0.011978505, 2022-11-01 14:38:56.544620
0.023305813,0.028546165,-0.01206636, 2022-11-01 14:38:56.549545
0.024711826,0.023918905,-0.004172035, 2022-11-01 14:38:56.554477
0.023124131,0.015168942,0.008460957, 2022-11-01 14:38:56.559397
0.018587484,0.005523272,0.019786639, 2022-11-01 14:38:56.564330
0.012202187,-0.002418005,0.024941443, 2022-11-01 14:38:56.569260
0.005920923,-0.005795606,0.022729163, 2022-11-01 14:38:56.574184
0.001598016,-0.003993793,0.014630512, 2022-11-01 14:38:56.579110
0.000434245,0.002463293,0.003238372, 2022-11-01 14:38:56.584045
0.002573792,0.010700002,-0.007626036, 2022-11-01 14:38:56.588981
0.006746658,0.016834059,-0.013771661, 2022-11-01 14:38:56.593911
0.011030477,0.018579167,-0.01336248, 2022-11-01 14:38:56.598828
0.013774194,0.01586403,-0.007403262, 2022-11-01 14:38:56.603761
0.013458311,0.009236338,0.001648332, 2022-11-01 14:38:56.608689
0.010409408,0.000970748,0.011140446, 2022-11-01 14:38:56.613625
0.005663408,-0.005686355,0.018379982, 2022-11-01 14:38:56.618556
0.000694407,-0.008615421,0.021230683, 2022-11-01 14:38:56.623511
-0.002770633,-0.007187443,0.019519937, 2022-11-01 14:38:56.628426
-0.003804474,-0.002055094,0.015026009, 2022-11-01 14:38:56.633354
-0.001988901,0.005034779,0.009717081, 2022-11-01 14:38:56.638274
0.001753614,0.011694036,0.005141081, 2022-11-01 14:38:56.643205
0.006483359,0.016124834,0.002796982, 2022-11-01 14:38:56.648130
0.010413453,0.01761874,0.003393781, 2022-11-01 14:38:56.653057
0.01314995,0.016237185,0.0054567, 2022-11-01 14:38:56.657984
0.013783607,0.012941314,0.006801246, 2022-11-01 14:38:56.662921
0.012937988,0.009149693,0.006759095, 2022-11-01 14:38:56.667846
0.010952149,0.00635256,0.006532163, 2022-11-01 14:38:56.672789
0.008935462,0.00501962,0.007180109, 2022-11-01 14:38:56.677712
0.007300664,0.00497539,0.008506396, 2022-11-01 14:38:56.682659
0.006528194,0.005681856,0.009988621, 2022-11-01 14:38:56.687575
0.006299484,0.006433194,0.011734712, 2022-11-01 14:38:56.692505
0.006440566,0.006992644,0.013732233, 2022-11-01 14:38:56.697432
0.006735846,0.007384171,0.015938691, 2022-11-01 14:38:56.702381
0.007186082,0.008290918,0.018021722, 2022-11-01 14:38:56.707291
0.007646185,0.009442819,0.0196961, 2022-11-01 14:38:56.712469
0.008770073,0.011182219,0.019823119, 2022-11-01 14:38:56.717357
0.010037085,0.01301711,0.01763216, 2022-11-01 14:38:56.722283
0.011545886,0.014985219,0.013849233, 2022-11-01 14:38:56.727218
0.013187829,0.016662508,0.01089155, 2022-11-01 14:38:56.732147
0.014890182,0.018235688,0.009613236, 2022-11-01 14:38:56.737078
0.016262059,0.018580831,0.009122513, 2022-11-01 14:38:56.741997
0.017139698,0.017794071,0.007945095, 2022-11-01 14:38:56.746924
0.01710473,0.015849929,0.00563997, 2022-11-01 14:38:56.751844
0.016312753,0.013575387,0.002414338, 2022-11-01 14:38:56.756776
0.014895247,0.011578963,-0.001021669, 2022-11-01 14:38:56.761696
0.013290086,0.009897213,-0.003191156, 2022-11-01 14:38:56.766625
0.011771608,0.008365617,-0.00228679, 2022-11-01 14:38:56.771548
0.010168262,0.006476668,0.001869292, 2022-11-01 14:38:56.776482
0.00828143,0.004105085,0.007670039, 2022-11-01 14:38:56.781492
0.00590739,0.001669502,0.013147644, 2022-11-01 14:38:56.786441
0.004209271,-7.69E-05,0.016305495, 2022-11-01 14:38:56.791371
0.00247539,-0.000308965,0.016822151, 2022-11-01 14:38:56.796307
0.001615935,0.001678537,0.015596912, 2022-11-01 14:38:56.801233
0.002270421,0.005216952,0.014143115, 2022-11-01 14:38:56.806165
0.004051632,0.009246091,0.013862389, 2022-11-01 14:38:56.811249
0.006745448,0.01286344,0.014084407, 2022-11-01 14:38:56.816173
0.00946826,0.014964087,0.013576332, 2022-11-01 14:38:56.821103
0.011808164,0.015604019,0.011586902, 2022-11-01 14:38:56.826037
0.013292922,0.015348999,0.009079455, 2022-11-01 14:38:56.830959
0.014002412,0.014803121,0.006753803, 2022-11-01 14:38:56.835895
0.014173282,0.01416678,0.004789814, 2022-11-01 14:38:56.840822
0.014158652,0.013546279,0.002850662, 2022-11-01 14:38:56.845754
0.013591529,0.012258891,0.001047451, 2022-11-01 14:38:56.850682
0.012937232,0.010680117,-0.000330324, 2022-11-01 14:38:56.855618
0.011578396,0.008497172,-0.001513564, 2022-11-01 14:38:56.860544
0.010092353,0.006417884,-0.002397175, 2022-11-01 14:38:56.865477
0.008224385,0.004292324,-0.002408365, 2022-11-01 14:38:56.870404
0.006493679,0.002463142,-0.000680306, 2022-11-01 14:38:56.875358
0.004536155,0.000785777,0.003297836, 2022-11-01 14:38:56.880290
0.002972162,-0.000367031,0.0089386, 2022-11-01 14:38:56.885237
0.001381555,-0.001166795,0.014679845, 2022-11-01 14:38:56.890162
0.000467247,-0.001224634,0.018975307, 2022-11-01 14:38:56.895090
-0.000216121,-0.000181153,0.021462303, 2022-11-01 14:38:56.900014
0.000274375,0.002825599,0.022441103, 2022-11-01 14:38:56.905346
0.001888458,0.006788658,0.022901243, 2022-11-01 14:38:56.910256
0.004521336,0.01134447,0.02294706, 2022-11-01 14:38:56.915215
0.007726139,0.015637286,0.021704394, 2022-11-01 14:38:56.920141
0.011556357,0.019159711,0.018119141, 2022-11-01 14:38:56.925067
0.014693076,0.021131903,0.012583432, 2022-11-01 14:38:56.929994
0.017421294,0.022268682,0.00675747, 2022-11-01 14:38:56.934923
0.019268546,0.022382772,0.002137657, 2022-11-01 14:38:56.939852
0.02048872,0.021428015,-0.001150578, 2022-11-01 14:38:56.944784
0.020391906,0.018857966,-0.002972842, 2022-11-01 14:38:56.949709
0.019267526,0.015192645,-0.003099294, 2022-11-01 14:38:56.954658
0.016879461,0.010633506,-0.001436067, 2022-11-01 14:38:56.959586
0.013820011,0.006209437,0.001335813, 2022-11-01 14:38:56.964518
0.010179679,0.002116789,0.004918383, 2022-11-01 14:38:56.969449
0.006684434,-0.000353271,0.009866404, 2022-11-01 14:38:56.974377
0.003730872,-0.001557945,0.016055843, 2022-11-01 14:38:56.979303
0.001808051,-0.001017208,0.022051049, 2022-11-01 14:38:56.984232
0.00107104,0.000575553,0.02580517, 2022-11-01 14:38:56.989158
0.001381215,0.003687398,0.025811067, 2022-11-01 14:38:56.994087
0.002867296,0.007856144,0.021600927, 2022-11-01 14:38:56.999017
0.005622467,0.012829417,0.014297692, 2022-11-01 14:38:57.004050
0.009199177,0.017591748,0.00628614, 2022-11-01 14:38:57.008966
0.013080959,0.021267919,0.000742265, 2022-11-01 14:38:57.013897
0.016534431,0.022797284,-0.001343071, 2022-11-01 14:38:57.018825
0.018780469,0.021307461,-0.000962053, 2022-11-01 14:38:57.023750
0.019229836,0.017223734,0.000516202, 2022-11-01 14:38:57.028678
0.017572317,0.011711728,0.002675671, 2022-11-01 14:38:57.033612
0.01443178,0.006622891,0.004873851, 2022-11-01 14:38:57.038533
0.010541417,0.002554134,0.00618925, 2022-11-01 14:38:57.043467
0.007213338,0.000712439,0.006238508, 2022-11-01 14:38:57.048392
0.004620947,0.000631691,0.005691004, 2022-11-01 14:38:57.053343
